,area_type,availability,total_sqft,bath,price,bhk
0,Super built-up  Area,0.0,1056.0,2.0,39.07,2.0
1,Plot  Area,1.0,2600.0,5.0,120.0,4.0
2,Built-up  Area,1.0,1440.0,2.0,62.0,3.0
3,Super built-up  Area,1.0,1521.0,3.0,95.0,3.0
4,Super built-up  Area,1.0,1200.0,2.0,51.0,2.0
5,Super built-up  Area,1.0,1170.0,2.0,38.0,2.0
6,Super built-up  Area,0.0,2732.0,4.0,204.0,4.0
7,Super built-up  Area,1.0,3300.0,4.0,600.0,4.0
8,Super built-up  Area,1.0,1310.0,3.0,63.25,3.0
9,Plot  Area,1.0,1020.0,6.0,370.0,6.0
10,Super built-up  Area,0.0,1800.0,2.0,70.0,3.0
11,Plot  Area,1.0,2785.0,5.0,295.0,4.0
12,Super built-up  Area,1.0,1000.0,2.0,38.0,2.0
13,Built-up  Area,1.0,1100.0,2.0,40.0,2.0
14,Plot  Area,1.0,2250.0,3.0,148.0,3.0
15,Super built-up  Area,1.0,1175.0,2.0,73.5,2.0
16,Super built-up  Area,1.0,1180.0,3.0,48.0,3.0
17,Super built-up  Area,1.0,1540.0,3.0,60.0,3.0
18,Super built-up  Area,1.0,2770.0,4.0,290.0,3.0
19,Super built-up  Area,1.0,1100.0,2.0,48.0,2.0
20,Built-up  Area,1.0,600.0,1.0,15.0,1.0
21,Super built-up  Area,0.0,1755.0,3.0,122.0,3.0
22,Plot  Area,1.0,2800.0,5.0,380.0,4.0
23,Super built-up  Area,1.0,1767.0,3.0,103.0,3.0
24,Super built-up  Area,0.0,510.0,1.0,25.25,1.0
25,Super built-up  Area,0.0,1250.0,3.0,56.0,3.0
26,Super built-up  Area,1.0,660.0,1.0,23.1,2.0
27,Built-up  Area,0.0,1610.0,3.0,81.0,3.0
28,Super built-up  Area,0.0,1151.0,2.0,48.77,2.0
29,Super built-up  Area,1.0,1025.0,2.0,47.0,3.0
30,Super built-up  Area,0.0,2475.0,4.0,186.0,4.0
31,Super built-up  Area,1.0,1075.0,2.0,35.0,3.0
32,Super built-up  Area,1.0,1760.0,2.0,123.0,3.0
33,Super built-up  Area,1.0,1693.0,3.0,57.39,3.0
34,Built-up  Area,1.0,1925.0,3.0,125.0,3.0
35,Super built-up  Area,0.0,700.0,2.0,36.0,2.0
36,Super built-up  Area,1.0,1070.0,2.0,45.5,2.0
37,Super built-up  Area,1.0,1724.0,3.0,125.0,3.0
38,Super built-up  Area,1.0,1290.0,2.0,56.12,3.0
39,Built-up  Area,1.0,1143.0,2.0,45.0,2.0
40,Built-up  Area,1.0,1296.0,2.0,81.0,2.0
41,Super built-up  Area,0.0,1254.0,3.0,38.0,3.0
42,Super built-up  Area,1.0,600.0,1.0,38.0,1.0
43,Plot  Area,1.0,660.0,1.0,48.0,1.0
44,Super built-up  Area,0.0,133074.0,2.0,91.79,2.0
45,Plot  Area,1.0,600.0,9.0,200.0,8.0
46,Super built-up  Area,1.0,970.0,2.0,33.0,2.0
47,Super built-up  Area,0.0,1459.0,2.0,94.82,2.0
48,Plot  Area,1.0,800.0,1.0,130.0,2.0
49,Built-up  Area,1.0,869.0,2.0,36.0,2.0
50,Super built-up  Area,1.0,1270.0,2.0,50.0,2.0
51,Super built-up  Area,0.0,1670.0,3.0,99.0,3.0
52,Built-up  Area,1.0,2010.0,3.0,91.0,3.0
53,Super built-up  Area,1.0,1185.0,2.0,75.0,2.0
54,Super built-up  Area,1.0,1600.0,2.0,75.0,3.0
55,Super built-up  Area,1.0,1200.0,2.0,44.0,2.0
56,Built-up  Area,0.0,3210.0,,192.0,4.0
57,Super built-up  Area,1.0,1500.0,2.0,185.0,2.0
58,Plot  Area,1.0,1407.0,4.0,150.0,6.0
59,Super built-up  Area,1.0,840.0,2.0,45.0,2.0
60,Plot  Area,1.0,4395.0,3.0,240.0,3.0
61,Super built-up  Area,1.0,845.0,2.0,55.0,2.0
62,Plot  Area,1.0,5700.0,5.0,650.0,4.0
63,Built-up  Area,1.0,1160.0,2.0,44.0,2.0
64,Built-up  Area,1.0,3000.0,8.0,140.0,8.0
65,Super built-up  Area,1.0,1100.0,2.0,62.0,2.0
66,Super built-up  Area,0.0,1140.0,2.0,43.0,2.0
67,Super built-up  Area,1.0,1220.0,2.0,57.0,2.0
68,Plot  Area,1.0,1350.0,7.0,85.0,8.0
69,Super built-up  Area,1.0,1005.0,2.0,36.68,2.0
70,Plot  Area,1.0,500.0,3.0,100.0,3.0
71,Super built-up  Area,0.0,1358.0,2.0,80.58,2.0
72,Super built-up  Area,1.0,1569.0,3.0,101.0,3.0
73,Super built-up  Area,0.0,1240.0,2.0,70.0,2.0
74,Super built-up  Area,1.0,2089.0,3.0,140.0,3.0
75,Super built-up  Area,1.0,1206.0,2.0,48.23,2.0
76,Super built-up  Area,1.0,1150.0,2.0,40.0,2.0
77,Built-up  Area,1.0,2511.0,3.0,205.0,3.0
78,Built-up  Area,1.0,460.0,1.0,22.0,2.0
79,Built-up  Area,1.0,4400.0,6.0,250.0,6.0
80,Super built-up  Area,1.0,1660.0,2.0,105.0,3.0
81,Built-up  Area,0.0,3203.5,,224.5,4.0
82,Super built-up  Area,0.0,1326.0,2.0,78.0,2.0
83,Super built-up  Area,1.0,1325.0,2.0,60.8,3.0
84,Super built-up  Area,1.0,1499.0,5.0,102.0,3.0
85,Built-up  Area,1.0,3000.0,7.0,210.0,6.0
86,Super built-up  Area,1.0,1665.0,3.0,88.0,3.0
87,Super built-up  Area,0.0,708.0,2.0,37.0,2.0
88,Super built-up  Area,1.0,1060.0,2.0,58.06,2.0
89,Plot  Area,1.0,710.0,6.0,160.0,6.0
90,Built-up  Area,1.0,1000.0,2.0,70.0,2.0
91,Super built-up  Area,0.0,1000.0,2.0,28.88,2.0
92,Super built-up  Area,1.0,1450.0,2.0,70.0,3.0
93,Plot  Area,1.0,1200.0,4.0,155.0,4.0
94,Super built-up  Area,0.0,1296.0,2.0,80.0,2.0
95,Super built-up  Area,1.0,1540.0,3.0,90.0,3.0
96,Plot  Area,1.0,2894.0,4.0,245.0,4.0
97,Super built-up  Area,1.0,1330.0,2.0,48.0,3.0
98,Built-up  Area,1.0,1200.0,2.0,65.0,2.0
99,Built-up  Area,1.0,1200.0,3.0,90.0,3.0
100,Super built-up  Area,1.0,2502.0,3.0,138.0,3.0
101,Built-up  Area,1.0,650.0,1.0,17.0,2.0
102,Plot  Area,1.0,2400.0,2.0,150.0,3.0
103,Super built-up  Area,1.0,1007.0,2.0,43.0,2.0
104,Super built-up  Area,1.0,1200.0,2.0,50.0,2.0
105,Super built-up  Area,1.0,966.0,2.0,49.9,2.0
106,Built-up  Area,1.0,1630.0,2.0,98.0,3.0
107,Built-up  Area,1.0,1640.0,3.0,229.0,3.0
108,Built-up  Area,1.0,782.0,2.0,55.68,2.0
109,Super built-up  Area,0.0,1260.0,2.0,66.78,2.0
110,Super built-up  Area,1.0,1800.0,3.0,120.0,3.0
111,Super built-up  Area,1.0,1413.0,2.0,75.0,3.0
112,Super built-up  Area,1.0,1116.0,2.0,51.91,2.0
113,Super built-up  Area,1.0,1530.0,2.0,45.9,3.0
114,Built-up  Area,1.0,3700.0,4.0,225.0,4.0
115,Built-up  Area,1.0,2497.0,3.0,140.0,3.0
116,Super built-up  Area,1.0,1540.0,2.0,64.0,3.0
117,Super built-up  Area,0.0,1436.0,3.0,74.75,3.0
118,Super built-up  Area,0.0,1100.0,2.0,75.0,2.0
119,Plot  Area,1.0,276.0,3.0,23.0,2.0
120,Super built-up  Area,1.0,1427.0,3.0,120.0,3.0
121,Super built-up  Area,1.0,2061.0,3.0,200.0,3.0
122,Super built-up  Area,0.0,5611.5,4.0,477.0,4.0
123,Built-up  Area,1.0,2650.0,4.0,150.0,4.0
124,Super built-up  Area,0.0,1282.0,2.0,68.52,3.0
125,Built-up  Area,1.0,1050.0,2.0,34.0,2.0
126,Built-up  Area,1.0,1600.0,3.0,65.0,3.0
127,Super built-up  Area,0.0,945.0,2.0,54.0,2.0
128,Super built-up  Area,1.0,1500.0,2.0,78.0,2.0
129,Plot  Area,1.0,950.0,7.0,115.0,7.0
130,Built-up  Area,1.0,1870.0,3.0,110.0,3.0
131,Plot  Area,1.0,1600.0,3.0,75.0,3.0
132,Super built-up  Area,1.0,880.0,1.0,16.5,2.0
133,Plot  Area,1.0,1200.0,4.0,210.0,4.0
134,Super built-up  Area,1.0,1535.0,3.0,83.0,3.0
135,Built-up  Area,1.0,950.0,2.0,57.0,2.0
136,Super built-up  Area,0.0,1360.0,2.0,65.0,2.0
137,Super built-up  Area,0.0,1073.5,2.0,54.005,2.0
138,Super built-up  Area,0.0,1280.0,3.0,50.4,3.0
139,Super built-up  Area,0.0,1260.0,2.0,85.05,3.0
140,Built-up  Area,1.0,5000.0,8.0,250.0,8.0
141,Super built-up  Area,0.0,3050.0,5.0,213.0,5.0
142,Super built-up  Area,1.0,156305.0,3.0,105.0,3.0
143,Super built-up  Area,1.0,1000.0,2.0,60.0,2.0
144,Super built-up  Area,0.0,1167.0,2.0,43.76,2.0
145,Super built-up  Area,1.0,4000.0,7.0,225.0,7.0
146,Super built-up  Area,1.0,1828.0,3.0,110.0,3.0
147,Super built-up  Area,1.0,890.0,2.0,35.0,2.0
148,Super built-up  Area,1.0,1612.0,3.0,46.74,3.0
149,Plot  Area,1.0,1034.0,5.0,185.0,6.0
150,Super built-up  Area,0.0,1710.0,4.0,91.31,3.0
151,Super built-up  Area,1.0,957.0,2.0,58.0,2.0
152,Super built-up  Area,0.0,1250.0,2.0,44.0,3.0
153,Super built-up  Area,1.0,2795.0,4.0,235.0,3.0
154,Super built-up  Area,1.0,1125.0,2.0,50.0,2.0
155,Super built-up  Area,0.0,1020.0,2.0,30.6,2.0
156,Super built-up  Area,1.0,1200.0,2.0,50.0,2.0
157,Super built-up  Area,1.0,1735.0,3.0,135.0,3.0
158,Super built-up  Area,1.0,2050.0,3.0,145.0,3.0
159,Plot  Area,1.0,3750.0,4.0,760.0,4.0
160,Built-up  Area,1.0,1350.0,2.0,48.0,3.0
161,Super built-up  Area,0.0,1063.0,2.0,32.0,2.0
162,Super built-up  Area,1.0,1904.0,3.0,150.0,3.0
163,Built-up  Area,1.0,4200.0,4.0,420.0,4.0
164,Super built-up  Area,1.0,2000.0,3.0,175.0,3.0
165,Super built-up  Area,0.0,1242.5,2.0,43.49,2.0
166,Super built-up  Area,1.0,1425.0,2.0,75.0,3.0
167,Super built-up  Area,1.0,1500.0,2.0,64.5,3.0
168,Built-up  Area,1.0,1060.0,2.0,60.0,2.0
169,Built-up  Area,1.0,1470.0,2.0,70.0,3.0
170,Super built-up  Area,1.0,1300.0,6.0,99.0,6.0
171,Super built-up  Area,1.0,450.0,1.0,11.0,1.0
172,Super built-up  Area,0.0,1152.0,2.0,64.5,2.0
173,Super built-up  Area,1.0,1350.0,2.0,56.0,3.0
174,Super built-up  Area,1.0,1550.0,3.0,65.0,3.0
175,Plot  Area,1.0,1500.0,3.0,100.0,3.0
176,Plot  Area,1.0,600.0,3.0,85.0,5.0
177,Plot  Area,1.0,400.0,1.0,14.0,1.0
178,Super built-up  Area,1.0,705.0,1.0,67.0,1.0
179,Built-up  Area,1.0,770.0,1.0,36.0,2.0
180,Super built-up  Area,1.0,1242.0,2.0,51.0,2.0
181,Super built-up  Area,1.0,1700.0,3.0,155.0,3.0
182,Super built-up  Area,1.0,2144.0,3.0,145.0,3.0
183,Super built-up  Area,0.0,1704.0,3.0,110.0,3.0
184,Super built-up  Area,1.0,1070.0,2.0,52.0,2.0
185,Plot  Area,1.0,1846.0,3.0,300.0,3.0
186,Super built-up  Area,1.0,1340.0,2.0,55.7,2.0
187,Built-up  Area,1.0,1025.0,2.0,46.0,2.0
188,Super built-up  Area,1.0,1277.5,2.0,56.8,2.0
189,Super built-up  Area,1.0,1200.0,2.0,52.0,2.0
190,Built-up  Area,0.0,2250.0,4.0,110.0,4.0
191,Super built-up  Area,1.0,1550.0,2.0,80.0,3.0
192,Plot  Area,1.0,1200.0,5.0,325.0,4.0
193,Plot  Area,1.0,1800.0,7.0,250.0,7.0
194,Super built-up  Area,1.0,1200.0,2.0,60.0,2.0
195,Super built-up  Area,1.0,1327.0,2.0,98.0,2.0
196,Super built-up  Area,1.0,1186.0,2.0,58.0,2.0
197,Built-up  Area,1.0,1783.0,3.0,115.0,3.0
198,Super built-up  Area,1.0,1400.0,3.0,56.0,3.0
199,Super built-up  Area,1.0,980.0,2.0,48.0,2.0
200,Super built-up  Area,1.0,1285.0,2.0,82.0,2.0
201,Super built-up  Area,1.0,912.0,2.0,70.0,3.0
202,Built-up  Area,1.0,1225.0,2.0,47.6,2.0
203,Super built-up  Area,1.0,1075.0,2.0,53.0,2.0
204,Built-up  Area,1.0,1260.0,2.0,54.0,3.0
205,Super built-up  Area,1.0,1282.0,2.0,48.7,3.0
206,Super built-up  Area,1.0,1909.0,3.0,88.0,3.0
207,Super built-up  Area,1.0,1359.0,2.0,87.0,2.0
208,Built-up  Area,1.0,1207.0,2.0,43.5,2.0
209,Plot  Area,1.0,1736.0,6.0,190.0,4.0
210,Super built-up  Area,0.0,2850.0,4.0,428.0,4.0
211,Super built-up  Area,1.0,1595.0,3.0,65.0,3.0
212,Built-up  Area,0.0,1798.0,3.0,89.0,3.0
213,Super built-up  Area,1.0,1475.0,3.0,78.29,3.0
214,Super built-up  Area,1.0,1580.0,3.0,100.0,3.0
215,Super built-up  Area,1.0,1295.0,2.0,65.0,2.0
216,Built-up  Area,1.0,3600.0,6.0,141.0,6.0
217,Super built-up  Area,1.0,589.0,1.0,27.0,1.0
218,Super built-up  Area,1.0,1415.0,3.0,78.0,3.0
