,area_type,location,total_sqft,bath,price,bhk
0,Super built-up  Area,1st Block Jayanagar,2850.0,4.0,428.0,4.0
1,Super built-up  Area,1st Block Jayanagar,1630.0,3.0,194.0,3.0
2,Super built-up  Area,1st Block Jayanagar,1875.0,2.0,235.0,3.0
3,Built-up  Area,1st Block Jayanagar,1200.0,2.0,130.0,3.0
4,Super built-up  Area,1st Block Jayanagar,1235.0,2.0,148.0,2.0
5,Super built-up  Area,1st Block Jayanagar,2750.0,4.0,413.0,4.0
6,Super built-up  Area,1st Block Jayanagar,2450.0,4.0,368.0,4.0
8,Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,167.0,3.0
9,Built-up  Area,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
10,Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,210.0,3.0
12,Super built-up  Area,1st Phase JP Nagar,2059.0,3.0,225.0,3.0
13,Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,100.0,2.0
14,Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,93.0,2.0
15,Plot  Area,1st Phase JP Nagar,1566.0,2.0,180.0,2.0
16,Built-up  Area,1st Phase JP Nagar,840.0,2.0,50.0,1.0
17,Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,131.0,3.0
18,Super built-up  Area,1st Phase JP Nagar,2180.0,3.0,210.0,3.0
19,Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,88.5,2.0
20,Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,86.0,2.0
21,Built-up  Area,1st Phase JP Nagar,1394.0,2.0,85.0,2.0
22,Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,175.0,3.0
24,Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,85.0,2.0
26,Super built-up  Area,1st Phase JP Nagar,900.0,2.0,75.0,2.0
27,Super built-up  Area,2nd Phase Judicial Layout,1450.0,2.0,50.75,3.0
28,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
29,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
30,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
31,Super built-up  Area,2nd Phase Judicial Layout,900.0,2.0,41.0,2.0
32,Super built-up  Area,2nd Phase Judicial Layout,1681.0,3.0,69.0,3.0
33,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,47.25,3.0
34,Super built-up  Area,2nd Phase Judicial Layout,1150.0,2.0,40.25,2.0
35,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4.0
36,Plot  Area,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6.0
37,Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6.0
38,Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4.0
39,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4.0
40,Plot  Area,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4.0
41,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6.0
42,Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,56.0,2.0
43,Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,70.0,3.0
44,Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,69.0,2.0
45,Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,48.0,2.0
46,Built-up  Area,5th Block Hbr Layout,3600.0,5.0,130.0,5.0
47,Built-up  Area,5th Block Hbr Layout,5100.0,5.0,300.0,6.0
48,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
49,Built-up  Area,5th Phase JP Nagar,1150.0,3.0,52.5,2.0
50,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
51,Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,63.0,2.0
52,Built-up  Area,5th Phase JP Nagar,1725.0,2.0,100.0,3.0
53,Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,60.0,2.0
54,Super built-up  Area,5th Phase JP Nagar,1400.0,2.0,88.0,3.0
55,Super built-up  Area,5th Phase JP Nagar,1450.0,2.0,58.0,2.0
56,Built-up  Area,5th Phase JP Nagar,1700.0,2.0,100.0,3.0
58,Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,110.0,5.0
59,Built-up  Area,5th Phase JP Nagar,600.0,1.0,30.0,1.0
60,Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,65.0,2.0
61,Built-up  Area,5th Phase JP Nagar,1256.0,2.0,62.8,2.0
62,Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,48.0,2.0
63,Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,75.0,3.0
64,Super built-up  Area,5th Phase JP Nagar,552.0,1.0,23.5,1.0
65,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,51.0,2.0
69,Built-up  Area,5th Phase JP Nagar,1030.0,2.0,57.0,2.0
70,Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,68.0,2.0
71,Built-up  Area,5th Phase JP Nagar,1190.0,2.0,61.8,2.0
72,Super built-up  Area,5th Phase JP Nagar,4000.0,5.0,170.0,5.0
73,Super built-up  Area,5th Phase JP Nagar,1080.0,2.0,53.0,2.0
74,Super built-up  Area,5th Phase JP Nagar,1041.0,2.0,54.0,2.0
75,Super built-up  Area,5th Phase JP Nagar,812.0,2.0,42.0,2.0
76,Built-up  Area,5th Phase JP Nagar,1010.0,2.0,57.0,2.0
77,Super built-up  Area,5th Phase JP Nagar,1450.0,2.0,73.0,3.0
